location,entity_type,value,start,end
paragraph_25,ORGANIZATION,Bhandary Metal Extrusion Private Limited,44,84
paragraph_25,ORGANIZATION,Bhandary Metal Extrusion Private Limited,316,356
paragraph_25,ORGANIZATION,KSH International Private Limited,362,395
paragraph_25,ORGANIZATION,KSH International Limited,1529,1554
paragraph_28,ADDRESS,Tower 2,23,30
paragraph_28,PERSON,Baner,76,81
paragraph_29,PERSON,Sarthak Malvadkar,16,33
paragraph_29,PHONE,91 20 4505 3237,90,105
paragraph_30,EMAIL,cs.connect@kshinternational.com,8,39
paragraph_49,ORGANIZATION,KSH International Limited,129,154
paragraph_49,ADDRESS,Tower 2,392,399
paragraph_49,PERSON,Baner,445,450
paragraph_115,ORGANIZATION,CARE Analytics and Advisory Private Limited,258,301
paragraph_167,PERSON,Kushal Subbayya Hegde,0,21
paragraph_167,PERSON,Pushpa Kushal Hegde,23,42
paragraph_167,PERSON,Rajesh Kushal Hegde,44,63
paragraph_167,PERSON,Rohit Kushal Hegde,65,83
paragraph_167,ORGANIZATION,Kanchenjunga Family Trust and Waterloo Industrial Park VI Private Limited,218,291
paragraph_226,PERSON,Kushal Subbayya Hegde,31,52
paragraph_226,PERSON,Rajesh Kushal Hegde,54,73
paragraph_226,PERSON,Rohit Kushal Hegde,75,93
paragraph_227,PERSON,Sandesh Bhagwat,30,45
paragraph_227,PERSON,Amod Joshi,52,62
paragraph_227,PERSON,Sarthak Malvadkar,69,86
paragraph_307,ORGANIZATION,Care Analytics and Advisory Private Limited,254,297
paragraph_320,ORGANIZATION,"Ahleia Switchgear Co., Bharat Bijlee Limited",38,82
paragraph_320,ORGANIZATION,CG Power and Industrial Solutions Limited,84,125
paragraph_320,ORGANIZATION,Emirates Transformer & Switchgear Limited,127,168
paragraph_320,ORGANIZATION,Georgia Transformer Corporation,170,201
paragraph_320,ORGANIZATION,Nidec Industrial Automation India Private Limited,203,252
paragraph_320,ORGANIZATION,Virginia Transformer Corporation,301,333
